Time(s),SeqNum,Digital0,Digital1,Digital2,Digital3,Analog0,Analog1,Analog2,Analog3,Analog4,Analog5
0.388,4,1,1,1,1,512,0,500,505,0,0
0.389,5,1,1,1,1,511,1,499,505,0,0
0.39,6,1,1,1,1,512,1,507,509,0,0
0.391,7,1,1,1,1,511,1,503,508,0,0
0.392,8,1,1,1,1,510,1,498,508,0,0
0.393,9,1,1,1,1,511,1,512,510,0,0
0.394,10,1,1,1,1,512,2,519,510,0,0
0.395,11,1,1,1,1,511,1,516,511,0,0
0.396,12,1,1,1,1,513,0,512,512,0,0
0.397,13,1,1,1,1,514,1,519,513,0,0
0.398,14,1,1,1,1,513,1,516,513,0,0
0.399,15,1,1,1,1,511,1,520,511,0,0
0.4,0,1,1,1,1,512,1,511,508,0,0
0.401,1,1,1,1,1,513,1,510,508,0,0
0.402,2,1,1,1,1,512,2,504,508,0,0
0.403,3,1,1,1,1,509,1,493,507,0,0
0.404,4,1,1,1,1,512,1,491,506,0,0
0.405,5,1,1,1,1,512,1,480,508,0,0
0.406,6,1,1,1,1,512,1,479,507,0,0
0.407,7,1,1,1,1,508,1,476,508,0,0
0.408,8,1,1,1,1,510,1,447,511,0,0
0.409,9,1,1,1,1,511,1,448,510,0,0
0.41,10,1,1,1,1,514,2,454,507,0,0
0.411,11,1,1,1,1,513,1,465,509,0,0
0.412,12,1,1,1,1,511,1,475,508,0,0
0.413,13,1,1,1,1,510,1,490,508,0,0
0.414,14,1,1,1,1,512,1,497,508,0,0
0.415,15,1,1,1,1,511,1,504,511,0,0
0.416,0,1,1,1,1,510,1,504,509,0,0
0.417,1,1,1,1,1,512,1,501,509,0,0
0.418,2,1,1,1,1,512,2,511,507,0,0
0.419,3,1,1,1,1,512,1,525,508,0,0
0.42,4,1,1,1,1,511,1,521,508,0,0
0.421,5,1,1,1,1,510,1,523,508,0,0
0.422,6,1,1,1,1,512,1,525,509,0,0
0.423,7,1,1,1,1,512,1,519,508,0,0
0.424,8,1,1,1,1,511,1,521,508,0,0
0.425,9,1,1,1,1,513,1,522,508,0,0
0.426,10,1,1,1,1,511,2,525,509,0,0
0.427,11,1,1,1,1,510,1,522,511,0,0
0.428,12,1,1,1,1,512,1,519,507,0,0
0.429,13,1,1,1,1,510,1,526,509,0,0
0.43,14,1,1,1,1,511,1,526,508,0,0
0.431,15,1,1,1,1,513,0,520,509,0,0
0.432,0,1,1,1,1,511,1,522,508,0,0
0.433,1,1,1,1,1,511,1,519,509,0,0
0.434,2,1,1,1,1,510,2,523,508,0,0
0.435,3,1,1,1,1,512,1,528,509,0,0
0.436,4,1,1,1,1,512,1,531,509,0,0
0.437,5,1,1,1,1,512,1,535,510,0,0
0.438,6,1,1,1,1,511,1,564,509,0,0
0.439,7,1,1,1,1,512,0,568,509,0,0
0.44,8,1,1,1,1,512,1,559,509,0,0
0.441,9,1,1,1,1,511,1,551,509,0,0
0.442,10,1,1,1,1,511,2,546,507,0,0
0.443,11,1,1,1,1,510,1,539,508,0,0
0.444,12,1,1,1,1,511,1,529,507,0,0
0.445,13,1,1,1,1,512,1,531,507,0,0
0.446,14,1,1,1,1,510,1,530,507,0,0
0.447,15,1,1,1,1,512,1,516,507,0,0
0.448,0,1,1,1,1,513,1,507,508,0,0
0.449,1,1,1,1,1,512,1,508,511,0,0
0.45,2,1,1,1,1,510,2,518,511,0,0
0.451,3,1,1,1,1,512,1,519,508,0,0
0.452,4,1,1,1,1,513,1,512,508,0,0
0.453,5,1,1,1,1,513,1,505,510,0,0
0.454,6,1,1,1,1,513,1,497,511,0,0
0.455,7,1,1,1,1,513,1,497,511,0,0
0.456,8,1,1,1,1,513,1,506,509,0,0
0.457,9,1,1,1,1,514,1,499,508,0,0
0.458,10,1,1,1,1,513,2,499,508,0,0
0.459,11,1,1,1,1,512,1,495,508,0,0
0.46,12,1,1,1,1,512,1,496,508,0,0
0.461,13,1,1,1,1,511,1,508,508,0,0
0.462,14,1,1,1,1,512,1,509,508,0,0
0.463,15,1,1,1,1,510,1,501,508,0,0
0.464,0,1,1,1,1,510,1,505,508,0,0
0.465,1,1,1,1,1,511,1,514,508,0,0
0.466,2,1,1,1,1,511,1,508,510,0,0
0.467,3,1,1,1,1,512,1,510,507,0,0
0.468,4,1,1,1,1,510,1,505,509,0,0
0.469,5,1,1,1,1,510,1,510,508,0,0
0.47,6,1,1,1,1,512,1,510,507,0,0
0.471,7,1,1,1,1,512,1,511,506,0,0
0.472,8,1,1,1,1,513,1,512,509,0,0
0.473,9,1,1,1,1,512,1,516,507,0,0
0.474,10,1,1,1,1,510,1,519,507,0,0
0.475,11,1,1,1,1,512,1,511,508,0,0
0.476,12,1,1,1,1,510,1,506,509,0,0
0.477,13,1,1,1,1,510,1,499,508,0,0
0.478,14,1,1,1,1,510,1,499,508,0,0
0.479,15,1,1,1,1,511,1,497,509,0,0
0.48,0,1,1,1,1,512,1,503,505,0,0
0.481,1,1,1,1,1,511,1,496,505,0,0
0.482,2,1,1,1,1,512,1,496,508,0,0
0.483,3,1,1,1,1,509,1,495,508,0,0
0.484,4,1,1,1,1,511,1,498,509,0,0
0.485,5,1,1,1,1,514,1,497,510,0,0
0.486,6,1,1,1,1,513,1,492,511,0,0
